Id,Accidents,Body_type,Year,Fuel_economy_combined,Days_on_market,Rating,Distance,Color,Drivetrain,Engine,Make,Mileage,Model,Transmission,Additional_features,Previous_owners,Price_drops,Photos,Seats,Seller_type,Trim,Price
274367511,0,SUV / Crossover,2016,27 MPG,2,FAIR_PRICE,188.65985,BLUE,ALL_WHEEL_DRIVE,I4,Mazda,33507,CX-5,6-Speed Automatic,6,1,,True,5,DEALER,Grand Touring AWD,20783.0
273985915,0,SUV / Crossover,2017,31 MPG,8,FAIR_PRICE,122.297264,BLUE,FRONT_WHEEL_DRIVE,I4,Mazda,24549,CX-3,6-Speed Automatic,5,1,,True,5,DEALER,Grand Touring,17995.0
272586040,0,SUV / Crossover,2013,28 MPG,27,FAIR_PRICE,176.7944,SILVER,ALL_WHEEL_DRIVE,I4,Mazda,102447,CX-5,6-Speed Automatic,3,2,,True,5,DEALER,Touring AWD,11330.0
274369593,0,SUV / Crossover,2019,28 MPG,2,FAIR_PRICE,186.50388,SILVER,FRONT_WHEEL_DRIVE,I4,Mazda,29593,CX-5,6-Speed Automatic,3,1,,True,5,DEALER,Touring FWD,20995.0
272768461,0,SUV / Crossover,2016,27 MPG,23,FAIR_PRICE,7.6288047,WHITE,ALL_WHEEL_DRIVE,I4,Mazda,24918,CX-5,6-Speed Automatic,3,1,,True,5,DEALER,Sport AWD,16077.0
272162042,0,SUV / Crossover,2016,27 MPG,34,FAIR_PRICE,175.59674,GRAY,ALL_WHEEL_DRIVE,I4,Mazda,34523,CX-5,6-Speed Automatic,5,1,,True,5,DEALER,Touring AWD,17800.0
272768458,1,SUV / Crossover,2017,26 MPG,23,FAIR_PRICE,7.6288047,WHITE,ALL_WHEEL_DRIVE,I4,Mazda,39493,CX-5,6-Speed Automatic,3,1,,True,5,DEALER,Sport AWD,17877.0
273208951,0,SUV / Crossover,2016,27 MPG,17,FAIR_PRICE,7.6288047,WHITE,ALL_WHEEL_DRIVE,I4,Mazda,19098,CX-5,6-Speed Automatic,4,1,,True,5,DEALER,Touring AWD,17400.0
272963492,1,SUV / Crossover,2017,29 MPG,21,FAIR_PRICE,27.122696,SILVER,ALL_WHEEL_DRIVE,I4,Mazda,21854,CX-3,6-Speed Automatic,4,1,,True,5,DEALER,Sport AWD,15136.0
273212279,0,SUV / Crossover,2017,26 MPG,17,FAIR_PRICE,188.65985,WHITE,ALL_WHEEL_DRIVE,I4,Mazda,52382,CX-5,6-Speed Automatic,8,1,True,True,5,DEALER,Grand Touring AWD,22572.0
273132904,0,SUV / Crossover,2014,27 MPG,18,FAIR_PRICE,88.691444,GRAY,,I4,Mazda,79407,CX-5,Automatic,5,1,,True,5,DEALER,Touring AWD,13261.0
273068556,0,SUV / Crossover,2016,27 MPG,20,FAIR_PRICE,25.532425,RED,ALL_WHEEL_DRIVE,I4,Mazda,20461,CX-5,6-Speed Automatic,6,1,,,5,DEALER,Grand Touring AWD,19990.0
273091976,0,SUV / Crossover,2017,26 MPG,19,FAIR_PRICE,112.41906,BLACK,ALL_WHEEL_DRIVE,I4,Mazda,14943,CX-5,6-Speed Automatic,7,1,,True,5,DEALER,Grand Touring AWD,24779.0
270969568,1,SUV / Crossover,2013,29 MPG,56,FAIR_PRICE,32.37585,WHITE,FRONT_WHEEL_DRIVE,I4,Mazda,115898,CX-5,6-Speed Automatic,3,3,True,True,5,DEALER,Touring,8973.0
253698925,0,SUV / Crossover,2018,28 MPG,265,FAIR_PRICE,171.60484,BLUE,FRONT_WHEEL_DRIVE,I4,Mazda,51341,CX-5,6-Speed Automatic,5,1,,,5,DEALER,Grand Touring FWD,19998.0
273132259,0,SUV / Crossover,2019,27 MPG,18,FAIR_PRICE,120.420715,BLACK,,I4,Mazda,3420,CX-5,Automatic,8,1,,True,5,DEALER,Grand Touring AWD,28992.0
273121962,0,SUV / Crossover,2019,,18,FAIR_PRICE,188.65985,BLACK,,I4,Mazda,30612,CX-5,6-Speed Automatic,7,1,,True,5,DEALER,Grand Touring AWD,25588.0
272005908,0,SUV / Crossover,2008,18 MPG,37,FAIR_PRICE,81.408905,WHITE,ALL_WHEEL_DRIVE,V6,Mazda,137553,CX-9,Automatic,4,3,,,7,DEALER,Touring 4WD,7300.0
273995985,0,SUV / Crossover,2016,27 MPG,7,FAIR_PRICE,101.49895,BLUE,ALL_WHEEL_DRIVE,I4,Mazda,68970,CX-5,6-Speed Automatic,3,2,,True,5,DEALER,Touring AWD,15796.0
272867436,1,SUV / Crossover,2017,29 MPG,22,FAIR_PRICE,175.57541,RED,ALL_WHEEL_DRIVE,I4,Mazda,73221,CX-3,6-Speed Automatic,6,1,,True,5,DEALER,Grand Touring AWD,16305.0
273174035,0,SUV / Crossover,2016,32 MPG,18,FAIR_PRICE,7.905565,WHITE,FRONT_WHEEL_DRIVE,I4,Mazda,75243,CX-3,6-Speed Automatic,3,1,,True,5,DEALER,Touring,12888.0
274510469,0,SUV / Crossover,2013,28 MPG,1,FAIR_PRICE,20.528835,SILVER,ALL_WHEEL_DRIVE,I4,Mazda,118398,CX-5,6-Speed Automatic,6,2,,True,5,DEALER,Grand Touring AWD,10550.0
266318116,0,SUV / Crossover,2019,27 MPG,122,FAIR_PRICE,112.41906,SILVER,ALL_WHEEL_DRIVE,I4,Mazda,6173,CX-5,6-Speed Automatic,7,1,,True,5,DEALER,Touring AWD,26779.0
272949899,0,SUV / Crossover,2015,27 MPG,21,FAIR_PRICE,59.624092,GRAY,ALL_WHEEL_DRIVE,I4,Mazda,138535,CX-5,6-Speed Automatic,3,1,,True,5,DEALER,Touring AWD,9995.0
274137472,0,SUV / Crossover,2016,27 MPG,5,FAIR_PRICE,177.58264,BLUE,ALL_WHEEL_DRIVE,I4,Mazda,91685,CX-5,6-Speed Automatic,5,3,True,True,5,DEALER,Touring AWD,14500.0
273117969,0,SUV / Crossover,2016,27 MPG,18,FAIR_PRICE,18.59148,BLUE,ALL_WHEEL_DRIVE,I4,Mazda,31306,CX-5,6-Speed Automatic,5,1,True,True,5,DEALER,Touring AWD,17271.0
270504141,0,SUV / Crossover,2008,19 MPG,67,FAIR_PRICE,199.72523,BLACK,ALL_WHEEL_DRIVE,I4,Mazda,161904,CX-7,6-Speed Automatic,2,5,,True,5,DEALER,Grand Touring AWD,5500.0
270422975,0,SUV / Crossover,2019,24 MPG,70,FAIR_PRICE,54.72326,RED,,I4,Mazda,15159,CX-5,6-Speed Automatic,7,1,,True,5,DEALER,Signature AWD,31250.0
273152761,0,SUV / Crossover,2019,,18,FAIR_PRICE,154.2041,BLUE,,I4,Mazda,22245,CX-5,Automatic,7,1,,True,5,DEALER,Grand Touring AWD,25297.0
274014493,0,SUV / Crossover,2019,27 MPG,7,FAIR_PRICE,27.122696,BLACK,ALL_WHEEL_DRIVE,I4,Mazda,7692,CX-5,6-Speed Automatic,4,1,,True,5,DEALER,Touring AWD,24900.0
270479141,1,SUV / Crossover,2013,20 MPG,68,FAIR_PRICE,4.5499415,RED,,V6,Mazda,127012,CX-9,Automatic,4,3,,True,7,DEALER,Touring,8495.0
273537629,0,SUV / Crossover,2017,27 MPG,14,FAIR_PRICE,122.297264,WHITE,,I4,Mazda,30446,CX-5,6-Speed Automatic,4,1,,True,5,DEALER,Touring,19995.0
263896032,0,SUV / Crossover,2016,27 MPG,149,FAIR_PRICE,166.10632,RED,ALL_WHEEL_DRIVE,I4,Mazda,22430,CX-5,6-Speed Automatic,7,1,,True,5,DEALER,Grand Touring AWD,20328.0
274586656,0,SUV / Crossover,2017,26 MPG,0,FAIR_PRICE,101.49895,WHITE,ALL_WHEEL_DRIVE,I4,Mazda,44117,CX-5,6-Speed Automatic,6,1,,True,5,DEALER,Grand Select AWD,21888.0
273574330,0,SUV / Crossover,2017,26 MPG,13,FAIR_PRICE,177.66475,RED,ALL_WHEEL_DRIVE,I4,Mazda,15534,CX-5,6-Speed Automatic,3,1,,,5,DEALER,Touring AWD,22187.0
272604267,0,SUV / Crossover,2013,28 MPG,27,FAIR_PRICE,95.82792,RED,ALL_WHEEL_DRIVE,I4,Mazda,140872,CX-5,Automatic,7,2,,True,5,DEALER,Grand Touring AWD,9792.0
272413135,1,SUV / Crossover,2017,26 MPG,30,FAIR_PRICE,37.534473,SILVER,ALL_WHEEL_DRIVE,I4,Mazda,44543,CX-5,6-Speed Automatic,3,1,,True,5,DEALER,Touring AWD,19500.0
273997122,0,SUV / Crossover,2016,27 MPG,7,FAIR_PRICE,188.65985,RED,ALL_WHEEL_DRIVE,I4,Mazda,28561,CX-5,6-Speed Automatic,4,1,,True,5,DEALER,Touring AWD,19057.0
272087501,1,SUV / Crossover,2016,24 MPG,35,FAIR_PRICE,133.89787,BLACK,ALL_WHEEL_DRIVE,I4,Mazda,77223,CX-9,6-Speed Automatic,4,1,,True,7,DEALER,Sport AWD,16950.0
273208945,1,SUV / Crossover,2016,27 MPG,17,FAIR_PRICE,7.6288047,BLACK,ALL_WHEEL_DRIVE,I4,Mazda,45270,CX-5,6-Speed Automatic,2,1,,True,5,DEALER,Sport AWD,14577.0
251085598,0,SUV / Crossover,2015,27 MPG,294,FAIR_PRICE,171.78705,BLUE,ALL_WHEEL_DRIVE,I4,Mazda,104610,CX-5,6-Speed Automatic,6,2,,True,5,DEALER,Grand Touring AWD,13790.0
273354815,0,SUV / Crossover,2019,27 MPG,16,FAIR_PRICE,180.62529,BLACK,ALL_WHEEL_DRIVE,I4,Mazda,14089,CX-5,6-Speed Automatic,4,1,,True,5,DEALER,Touring AWD,25000.0
271711571,0,SUV / Crossover,2019,27 MPG,42,FAIR_PRICE,11.347763,SILVER,,I4,Mazda,22264,CX-5,6-Speed Automatic,8,1,,True,5,DEALER,Grand Touring AWD,24895.0
272377388,0,SUV / Crossover,2011,24 MPG,30,FAIR_PRICE,135.0606,WHITE,FRONT_WHEEL_DRIVE,I4,Mazda,75805,CX-7,5-Speed Automatic,1,2,,True,5,DEALER,i SV,7995.0
273991911,0,SUV / Crossover,2017,26 MPG,7,FAIR_PRICE,176.35541,WHITE,ALL_WHEEL_DRIVE,I4,Mazda,34838,CX-5,Automatic,6,1,,True,5,DEALER,Touring AWD,21500.0
273857449,0,SUV / Crossover,2016,27 MPG,9,FAIR_PRICE,116.38247,SILVER,ALL_WHEEL_DRIVE,I4,Mazda,59991,CX-5,Automatic,3,3,,True,5,DEALER,Touring AWD,15937.0
265396805,0,SUV / Crossover,2018,27 MPG,133,FAIR_PRICE,98.92939,BLUE,ALL_WHEEL_DRIVE,I4,Mazda,29210,CX-5,Automatic,3,1,,True,5,DEALER,Sport AWD,19998.0
273288027,1,SUV / Crossover,2018,28 MPG,16,FAIR_PRICE,45.423412,BLUE,FRONT_WHEEL_DRIVE,I4,Mazda,43805,CX-5,6-Speed Automatic,3,2,,True,5,DEALER,Sport FWD,16990.0
273972948,1,SUV / Crossover,2017,26 MPG,8,FAIR_PRICE,121.87466,BLACK,ALL_WHEEL_DRIVE,I4,Mazda,26919,CX-5,6-Speed Automatic,7,1,True,,5,DEALER,Grand Touring AWD,23172.0
274127999,0,SUV / Crossover,2016,27 MPG,5,FAIR_PRICE,175.59674,UNKNOWN,ALL_WHEEL_DRIVE,I4,Mazda,59191,CX-5,6-Speed Automatic,4,1,,,5,DEALER,Sport AWD,15111.0
270910011,0,SUV / Crossover,2018,27 MPG,57,FAIR_PRICE,59.624092,RED,ALL_WHEEL_DRIVE,I4,Mazda,32279,CX-5,6-Speed Automatic,3,1,,True,5,DEALER,Sport AWD,19995.0
269847118,1,SUV / Crossover,2015,27 MPG,81,FAIR_PRICE,69.34926,GRAY,ALL_WHEEL_DRIVE,I4,Mazda,70650,CX-5,Automatic,3,1,,True,5,DEALER,Touring AWD,13988.0
272791964,0,SUV / Crossover,2017,27 MPG,23,FAIR_PRICE,158.5214,RED,FRONT_WHEEL_DRIVE,I4,Mazda,35075,CX-5,6-Speed Automatic,3,1,,True,5,DEALER,Sport,17995.0
272021307,0,SUV / Crossover,2016,27 MPG,36,FAIR_PRICE,20.972332,UNKNOWN,ALL_WHEEL_DRIVE,I4,Mazda,93169,CX-5,Automatic,5,1,,True,5,DEALER,Grand Touring AWD,14980.0
269332575,0,SUV / Crossover,2019,27 MPG,89,FAIR_PRICE,176.35541,RED,ALL_WHEEL_DRIVE,I4,Mazda,2834,CX-5,Automatic,4,1,,True,5,DEALER,Sport AWD,24391.0
269058092,0,SUV / Crossover,2016,27 MPG,93,FAIR_PRICE,87.246376,BLUE,ALL_WHEEL_DRIVE,I4,Mazda,25171,CX-5,6-Speed Automatic,3,2,,True,5,DEALER,Sport AWD,16995.0
274010938,0,SUV / Crossover,2017,26 MPG,7,FAIR_PRICE,101.49895,BLUE,ALL_WHEEL_DRIVE,I4,Mazda,29008,CX-5,6-Speed Automatic,7,1,,True,5,DEALER,Grand Touring AWD,23582.0
267953947,0,SUV / Crossover,2016,27 MPG,105,FAIR_PRICE,70.730095,WHITE,ALL_WHEEL_DRIVE,I4,Mazda,51745,CX-5,Automatic,4,1,,True,5,DEALER,Touring AWD,16400.0
258450658,0,SUV / Crossover,2019,27 MPG,213,FAIR_PRICE,177.66475,BLACK,ALL_WHEEL_DRIVE,I4,Mazda,29130,CX-5,6-Speed Automatic,4,1,,True,5,DEALER,Touring AWD,22678.0
273140248,0,SUV / Crossover,2014,27 MPG,18,FAIR_PRICE,98.85502,RED,ALL_WHEEL_DRIVE,I4,Mazda,116212,CX-5,6-Speed Automatic,6,1,,,5,DEALER,Grand Touring AWD,11998.0
256658184,0,SUV / Crossover,2019,27 MPG,233,FAIR_PRICE,110.46026,GRAY,,I4,Mazda,21811,CX-5,6-Speed Automatic,7,2,,True,5,DEALER,Grand Touring AWD,25382.0
273205569,0,SUV / Crossover,2016,27 MPG,17,FAIR_PRICE,176.7944,RED,ALL_WHEEL_DRIVE,I4,Mazda,24975,CX-5,Automatic,6,1,,True,5,DEALER,Grand Touring AWD,20486.0
274327154,0,SUV / Crossover,2018,23 MPG,3,FAIR_PRICE,7.905565,BLUE,ALL_WHEEL_DRIVE,I4,Mazda,34822,CX-9,6-Speed Automatic,5,1,,,7,DEALER,Touring AWD,25488.0
273620916,1,SUV / Crossover,2016,27 MPG,11,FAIR_PRICE,48.353565,BLACK,ALL_WHEEL_DRIVE,I4,Mazda,92831,CX-5,6-Speed Automatic,2,3,,,5,DEALER,Sport AWD,12970.0
273313037,1,SUV / Crossover,2016,27 MPG,16,FAIR_PRICE,126.555305,BLACK,ALL_WHEEL_DRIVE,I4,Mazda,77026,CX-5,Automatic,4,1,True,True,5,DEALER,Touring AWD,14497.0
242223276,0,SUV / Crossover,2016,29 MPG,387,FAIR_PRICE,49.495,WHITE,ALL_WHEEL_DRIVE,I4,Mazda,68013,CX-3,6-Speed Automatic,5,2,,True,5,DEALER,Grand Touring AWD,15400.0
273811692,1,SUV / Crossover,2014,27 MPG,9,FAIR_PRICE,181.73546,RED,,I4,Mazda,53589,CX-5,6-Speed Automatic,4,1,,,5,DEALER,Touring AWD,13994.0
265879115,0,SUV / Crossover,2016,27 MPG,127,FAIR_PRICE,22.807571,WHITE,ALL_WHEEL_DRIVE,I4,Mazda,29139,CX-5,6-Speed Automatic,6,1,,True,5,DEALER,Grand Touring AWD,19986.0
266400175,2,SUV / Crossover,2016,27 MPG,121,FAIR_PRICE,87.246376,BLUE,ALL_WHEEL_DRIVE,I4,Mazda,61652,CX-5,6-Speed Automatic,3,2,,True,5,DEALER,Sport AWD,14495.0
274520113,0,SUV / Crossover,2019,23 MPG,1,FAIR_PRICE,7.0965405,GRAY,ALL_WHEEL_DRIVE,I4,Mazda,22523,CX-9,Automatic,0,1,,True,7,DEALER,Touring AWD,26197.0
273723330,0,SUV / Crossover,2016,27 MPG,10,FAIR_PRICE,177.66475,BLACK,ALL_WHEEL_DRIVE,I4,Mazda,34818,CX-5,6-Speed Automatic,6,1,,,5,DEALER,Grand Touring AWD,19529.0
273201636,1,SUV / Crossover,2010,19 MPG,17,FAIR_PRICE,165.75885,WHITE,FRONT_WHEEL_DRIVE,V6,Mazda,153247,CX-9,6-Speed Automatic,3,2,,True,7,DEALER,Touring,6989.0
